latent_1,latent_2,latent_3
21.140966,-3.697582,5.3794365
1.9427792,-2.4894524,-0.25091532
3.208705,-2.1565914,-1.265144
3.5536962,-1.1979458,3.8050222
2.3920066,-2.2588444,-1.6488174
2.6575506,-2.2800124,-1.69734
3.0202835,-2.355007,-1.7926955
2.543036,-2.0512023,-1.6681135
2.757125,-1.7200367,-1.562184
2.7642822,-1.5371218,-1.7076322
3.4172034,-1.3345549,-1.8085363
3.0049987,-2.0245779,-1.6636075
3.0020616,-1.8026049,-1.7139606
3.6966279,-1.284509,1.0123826
3.2195692,-1.7434442,-1.8499132
3.405261,-1.834167,-1.8031489
1.8964175,-2.0286374,-1.0924467
2.516127,-2.741731,0.9565128
2.0193186,-2.9748495,-1.2072124
2.8469548,-2.8085449,0.5737232
2.7066052,-2.7375417,0.50322556
6.8355103,-2.868199,3.0490594
2.2116637,-2.6333992,1.3298607
5.4343295,-4.331898,-0.037227064
4.017035,-4.401424,1.4822515
7.8826523,-2.43724,2.1202114
4.0172305,-3.6627624,0.5353898
2.5582716,-3.7593682,-0.62574613
4.542036,-2.6375117,-0.8867847
4.9699,-2.823697,-0.6250471
3.9201107,-3.534362,-0.7180995
3.8992596,-3.081269,-0.8539752
3.4370875,-4.005329,-0.95903766
5.3101797,-2.6733289,0.57223904
6.194249,-2.166399,1.8460325
5.512295,-1.4734898,-0.507414
5.367861,-1.3063493,-0.5874053
5.110006,-1.7268522,-0.68788576
5.9988427,-1.3993886,-0.52087533
6.5775075,-1.013056,0.43340048
4.7189445,-1.620537,1.3731836
4.6594315,-3.0152013,-0.17015305
3.8934717,-1.4028089,5.624937
6.6633096,-1.697988,0.5113293
6.5667744,-0.86099285,0.7175461
6.51367,-1.0267065,0.16351947
6.281985,-1.2185104,0.24302086
5.6822066,-1.1812878,0.6428218
6.5666056,-1.2527153,-0.11486569
6.026421,-2.9750502,-0.10371032
2.2163439,-2.2830727,4.970763
-0.7734655,-2.8621814,3.0170536
3.5960498,-3.6660244,-0.87628305
6.077949,-0.71968466,0.39097747
5.7359548,-0.8830065,0.119924754
5.758818,-0.7777241,0.18473884
6.2049136,-0.9321855,-0.069590956
1.3459622,-2.6832345,-0.6095736
1.4100455,-2.0378945,-0.7506379
2.4594266,-1.366395,-1.1367711
-7.808102,21.450855,3.143363
-5.931398,26.223217,0.8426014
1.9298674,-2.704004,0.5948098
1.4150358,-3.021818,1.1436044
1.8984867,-2.8637042,0.02666995
3.660056,-3.0916274,1.536479
3.2684822,-1.7541897,0.6151042
4.0873795,-0.9222842,0.95420086
3.6344824,-1.6655445,0.5655961
4.033341,-0.94295126,1.0851068
4.255434,-0.7297568,1.0716507
2.7415261,-2.6131296,1.0045352
3.1270144,-2.0347655,0.8188127
3.5592432,-1.4490912,0.8218092
3.6091928,-1.0744898,0.87764835
3.1403885,-1.1016862,1.1041062
3.4798489,-1.7104468,0.40764412
3.0379572,-1.717098,1.5036668
1.4181951,-3.1142328,-0.2828615
1.8753921,-3.097087,-1.4371612
2.7183328,-3.087237,3.2579346
-0.734372,-3.9919674,-0.4252191
-2.5960045,-2.1534417,7.6479425
-0.71283996,-2.1551297,9.809107
5.4230547,-0.7049977,9.9354725
5.881963,-0.5715197,9.126658
6.0601044,-0.59968036,9.1246395
1.0858866,-3.1434474,1.7002276
1.0721685,-2.6601658,1.3468045
1.1365143,-2.5518718,1.3944026
-0.40124166,-2.88211,0.6009444
-0.2122611,-2.9079068,0.4805332
8.118824,-0.43870533,11.148037
-0.13342227,-2.1145568,1.5657891
2.323492,-0.98559827,0.81524396
3.2711341,-0.6876821,1.738634
3.0889091,-0.5468877,1.5232674
3.281907,-0.4515893,1.5310856
3.0708842,-0.50834507,1.3576833
2.0636847,-1.6773908,-1.2452556
1.861859,-2.0608957,-1.1531762
0.8852608,-1.5053024,-0.19198522
0.8132074,-1.7139845,-0.25090244
0.81549263,-1.7049794,-0.24041685
0.80956364,-1.5887704,-0.09956995
1.9665395,-1.9170954,-1.1840907
1.8685218,-1.9728081,-1.0865382
2.0195172,-2.1518762,-1.1788741
2.048821,-2.1229262,-1.1845165
2.532017,-2.1517398,-1.2878658
0.79242575,-1.5206761,-0.22423264
0.91558623,-1.3480554,-0.28702405
3.2753038,-0.4213872,0.4062995
2.4762173,-1.4654641,0.52197194
2.466308,-1.3864789,0.49877724
2.4479012,-1.3508852,0.4968985
2.434437,-1.1824691,0.55160964
2.3831754,-1.4222126,0.46422037
2.3056371,-1.5728648,0.35930356
2.10152,-1.6762996,0.1833255
2.9968286,-0.95224696,1.3757918
2.3335133,-1.2742529,0.43230292
2.6972148,-1.3054874,0.44239518
1.7240919,-1.6364493,0.18640038
2.7378948,-1.1085589,1.3117303
1.9648615,-2.3107889,1.6143299
1.8639661,-2.1424353,1.313187
