latent_1,latent_2
-0.08882963,0.33963385
0.06479717,-0.17476878
-0.034040444,0.18957308
-0.24897121,0.39335957
-0.29860222,-0.25538537
-0.35898483,-1.0518063
-0.892156,-0.21229514
-0.27380013,0.069313675
-0.37331462,0.605173
-0.24713181,0.47767976
-0.21458887,0.3957893
-0.14212404,0.315012
-0.250641,0.43757
-0.69559205,-0.6286926
-1.3953172,-0.82951903
-0.72417533,-1.5969697
-0.3192457,-1.4399725
-0.30387068,0.60517013
-0.07081639,0.3083295
0.030326612,0.2882587
-0.28229654,0.60639215
-0.86989796,-0.7391865
-0.4223836,-0.4353759
-0.17945145,0.2981241
-0.66644585,-6.6663523
-0.97643036,-7.101527
-0.18996702,-1.1765363
-0.6280799,-1.3049939
-0.16253935,-1.1810044
-1.0148089,-1.0149523
0.01563967,-0.47621235
-0.16271745,0.40208212
-0.11473011,-0.28493592
-0.10492062,0.29931644
-0.16551803,0.46276358
-0.30331933,-1.0283896
-0.102462284,-0.6681956
0.10850609,-0.3642814
0.2559849,-0.120091885
0.35042155,-0.2607188
0.17199863,-0.4904177
-0.16773985,-0.52734053
-0.23358761,-1.3328576
-0.08485102,-1.0959748
-1.42428,-1.207534
-0.440786,-1.9948295
-1.427939,-1.5787154
-2.145957,-1.4231912
-2.0242484,0.1785542
-1.7364736,0.21894816
-1.7844175,0.22537425
-0.6443361,-1.4625293
-0.23444758,-1.3017564
-0.17961095,-1.2462957
-0.19531022,-1.479906
-0.16617714,-1.4590708
-2.3359897,0.61933625
-0.12627564,-1.1352762
0.0729549,0.21121553
0.055286057,0.23081258
0.29222584,0.15374103
0.34601974,0.22519842
0.37693143,0.17326966
0.18566574,-0.276391
-0.05204176,-0.4653878
-0.19657938,-0.23998556
-0.059327118,-0.40823552
-0.048271053,-0.41024598
-0.37529087,-0.18533668
-0.071557276,-0.32529756
-0.10833763,-0.39247045
-0.031126492,-0.4575158
-0.016232364,-0.44556138
-0.1707425,-0.32067975
-0.18027483,-0.30829558
-0.074497454,-0.081276745
0.15732552,0.62935424
0.053851016,-0.2929698
0.22801365,-0.26639912
0.23995532,-0.25233027
0.25105584,-0.19978866
0.15512909,-0.34855327
0.19739915,-0.41391918
0.19462849,-0.4679111
-0.08793735,0.15945402
0.28514004,-0.20391127
0.011330971,-0.01999721
0.16683377,-0.5081935
-0.06389343,0.016063482
-0.24933885,-1.0139743
-0.13226448,-0.9294114
-0.039360277,-1.0318829
-0.41352046,-0.8113209
-0.62124074,-1.3071518
-0.80800265,-0.7136245
-0.055108182,-0.6737416
0.088122256,-0.5080321
0.18827356,-0.5254917
0.15369011,-0.49230346
0.24519934,-0.41270873
-0.41676766,0.23564604
-0.16153769,-0.14360389
-0.49468315,0.25082305
-0.31933528,-0.062634915
0.0032997215,-0.1735104
0.23018242,0.34551588
0.16721751,0.48697785
0.30307746,0.39176252
0.35577178,0.32447627
-0.12814938,0.3883455
-0.12727343,0.53936875
0.056514986,0.47643963
-0.36117345,0.10652676
-0.0014812863,0.59951556
0.3299904,0.5600271
-0.042336576,0.33417335
0.18479611,0.64151096
0.23869242,0.56966937
0.30895913,0.41821614
0.4013461,0.40189376
0.33627737,0.35539475
