latent_1,latent_2,latent_3
-0.55296373,-0.49265584,1.9507859
-0.6327111,-0.7067041,2.134777
-0.7424107,0.73642915,1.2133323
-0.9421391,0.6492774,1.4077326
-1.3585275,-0.00248521,1.7322768
-0.1756576,2.0586483,-0.32539654
-0.8366485,1.7543402,0.76071864
0.2518945,2.6057305,-0.22956142
-1.4309725,0.49024218,0.034901146
-0.55376,0.897435,0.23853624
-2.4605322,0.88769805,2.5923474
-0.5043357,0.6767506,0.11626232
-0.82309645,0.5654804,-0.41403311
-1.1664108,0.48436767,-0.8989372
-0.6497075,0.7042145,0.90913844
-1.1515691,0.052865632,1.4982432
-0.8944442,0.03412137,1.2269692
-0.09368181,0.29853344,0.9399704
-0.64263517,0.67293483,1.1528159
-1.3706121,0.520432,1.2821796
0.109534174,1.2380359,1.7786673
-0.6047238,0.8965605,0.70920116
-0.6570343,0.6651141,0.83406025
-2.0689223,-0.28079933,0.38796437
-1.8293173,0.28728038,-0.21631557
0.7167799,1.8791307,0.8235633
-0.97876495,0.73445374,-0.41249734
-1.0013918,0.67509705,-0.39932686
-0.7635034,1.3071002,0.48834872
-0.7537772,0.98266584,-0.13692176
-2.4535108,1.1920253,1.7228516
-2.064805,1.3681859,-1.2132415
-1.4530234,1.1148179,0.85587525
-2.942744,0.4737249,0.6547216
-2.0378904,0.9586418,-0.9444606
-1.6881186,0.14194936,0.6693168
-1.0036832,0.40214747,0.4446866
-2.0893931,0.75783426,0.65645546
-1.3763014,0.6353162,1.5091642
-2.0829368,1.1956385,0.42393446
-2.5318468,0.36303133,1.3594097
-3.5597706,0.07222841,2.4740453
-1.4822198,-0.5394657,1.8083565
-1.0217187,-0.5739034,1.6477039
-1.5437225,-0.08730524,1.7571148
-1.5010185,-0.41116306,1.6647531
-1.2604387,0.3861844,1.7450536
-2.3585732,0.1600981,2.2514067
-1.792365,0.29178184,2.2234335
-4.3895555,-1.0081309,2.227139
-1.7867237,-0.5554188,1.5930964
-0.88283247,-0.4578238,1.7613405
-0.43814197,-0.2656818,1.4129943
-0.49035266,-0.1424467,1.34697
-0.84282005,-0.3185571,1.6768239
-0.76242644,-0.43035465,1.6375266
-1.854593,0.1695587,-0.1262675
-2.5752194,0.5760568,1.2158538
-3.9069798,-0.4754588,-0.19486016
-1.577087,0.97009677,0.99713
-0.6929959,-0.72951347,2.085733
-0.42160365,-0.021834994,1.480711
-0.42298797,-0.3146546,1.6030014
-0.40507007,-0.62014896,1.7157606
-1.2590617,0.8161246,0.6835381
-0.92595786,0.5109461,0.5835401
-0.5275061,0.05892373,1.0278869
-1.7090272,-0.7810779,3.8562438
-1.7812933,0.21597368,4.6093163
0.8289215,1.6651164,-0.38144547
-1.4334553,1.3510696,0.81200784
0.35336128,1.5401019,0.111061215
-0.97503144,1.2809302,0.838479
0.38948897,0.65759116,1.0331947
-0.5077621,-0.36579707,2.0626636
-0.012519803,0.36010885,1.3648142
-0.25154445,-0.3599408,1.9091554
-0.34647503,-0.42579037,1.999827
-0.5760974,0.84667176,-0.27573115
-0.08541784,0.49809045,0.41118902
-0.36732087,0.024087971,1.2883617
-0.20086291,-0.20787376,1.3614172
-0.36560288,-0.09137177,1.4299368
0.2692645,0.34750807,0.50844353
-1.8662047,-0.27739292,1.8734106
