latent_1,latent_2
-12.634139,-2.096004
-10.739524,-2.2164664
-2.184243,-2.8137794
-3.127585,-3.664014
-2.2512882,-2.7738733
-2.508971,-3.252172
-1.4691133,-0.94307154
-1.3553311,0.03432484
-1.4806758,-0.5035656
-1.3831689,0.19825156
-1.3176332,0.23391338
-2.308968,-2.4921367
-1.6950547,-1.503554
-1.3833216,-0.43253952
-1.2718421,-0.03376083
-1.1838022,-0.6443009
-1.3026673,-1.0324903
-2.1076832,-1.1429526
-2.362712,-3.3807826
0.9440336,-0.0010612458
-3.6613984,-4.1649833
-3.4818416,-5.387219
-6.9496145,-5.112218
-7.306081,-5.247101
-6.0988708,1.0168867
-4.677727,0.7185423
-4.506727,1.0297949
-2.9262607,-4.0456686
-2.4161072,-3.1753826
-2.3156977,-2.9780931
-2.6647615,-3.8179684
-2.4657474,-3.757433
-4.8606367,3.4104583
-2.8737543,-2.8605232
-0.99568915,-0.2420219
-1.2099904,0.10704656
-1.0997609,0.14948298
-1.075136,0.18040855
-1.0250256,0.13581635
0.31045684,0.028892472
0.5074526,0.0066374093
0.22271845,0.022526607
0.5970923,-0.006423399
0.60573745,-0.004913375
0.16707215,0.023104861
0.19995192,0.02850841
0.24284133,0.034267113
0.45796368,-0.012351021
0.44390413,-0.009860858
0.09595558,-0.0037181675
0.3287101,0.031927273
0.1708878,0.030447766
-0.8627479,0.26468855
-1.1204785,-0.85414404
-1.0349054,-0.8755736
-1.0223664,-0.8468178
-0.97565055,-0.7301122
-1.0728766,-0.8910976
-1.1613933,-1.1008745
-1.2112945,-1.2707618
-1.3138528,0.05770929
-0.97287834,-0.7975911
-1.2113504,-0.2624507
-1.2201862,-1.0669453
-1.3692299,-0.2038203
-2.1929646,-2.4127436
-1.9663228,-2.1129096
-1.8846791,-2.5768993
-2.1566956,-2.0140173
-3.0348492,-3.6763432
-2.2151008,-2.2696893
-1.5052915,-1.3891269
-1.3760021,-1.2451106
-2.1024897,-1.536795
-2.1059158,-1.3172575
-2.0888484,-1.298822
-1.4847142,-0.17700855
-1.0784794,-0.8621374
-1.2691835,0.43933707
-1.0606763,-0.07942377
-1.2185795,-0.5250754
-1.1367728,0.14249118
-1.1374362,0.2141781
-1.0410084,0.2026505
-1.2567104,-0.07765995
-1.3230093,0.23234446
-1.2394626,0.32619935
-1.1481876,0.2604037
-1.4565371,0.08404072
-1.1730281,0.2707193
-0.8774533,0.22219177
-1.2075187,0.06741096
-0.9836439,0.2737946
0.024565399,0.03985876
0.02086088,0.03600754
0.011796415,0.037631422
0.01217702,0.041410446
0.0071757734,0.048944876
-0.03457132,0.066780284
-1.3398927,-0.19745247
-1.2829592,0.026433125
-1.2390901,0.20310484
-1.4983022,-0.20955767
-1.427197,-0.28148854
0.1014891,0.06603922
0.075987846,0.017175645
-2.2457974,-1.8750827
-2.133056,-1.304706
-1.5937356,0.21314968
-1.4990793,0.007535234
-1.4614718,0.32052255
-1.181648,0.25248533
-1.3196323,0.19452806
-1.3524972,0.042623773
-1.7024586,2.0953717
-11.375718,1.625649
-2.2085474,-2.5247958
-2.0456007,-2.2194514
-1.943282,-2.1083555
0.47482023,-0.18289326
-2.2823176,-2.572421
0.16910037,-0.26906604
0.18127313,-0.14505966
0.5771588,0.01658909
0.76313794,0.0040869266
0.8168031,0.014195517
0.89720345,-0.0023206323
0.8804599,-0.00048296154
0.88092625,0.0019614846
0.588508,-0.08850126
0.6347879,-0.08042537
0.5151793,-0.13868879
-3.2929788,-5.1658487
-3.8766773,-3.1944478
-5.1335526,-5.391254
-3.0191445,-0.6135277
-2.100862,0.042560533
-3.935165,-5.731079
-5.5093184,-2.5031807
-5.2506456,-5.640827
-3.5652778,-5.229885
-3.3210795,-4.8454204
-3.6510265,-4.4179454
-3.5890532,-4.777826
-3.224091,0.87630266
-1.6322023,-1.2548321
-2.5895576,-3.4581149
-2.332112,0.47289485
-2.7857618,-3.608384
-2.609732,-3.5078967
-2.4330118,-3.3069663
-2.264949,-2.9704125
-2.3447652,-3.080896
-2.3618135,-3.0292728
-2.4907002,-3.2472198
-2.7718356,-2.9947243
-1.6842937,-0.49859798
-2.2380986,-3.0087526
-1.5137938,-1.132852
-1.4463162,-0.61937773
-2.28226,0.14661552
-2.479056,-3.25762
-1.9484094,-2.741054
-1.8614293,-2.2427602
-1.3687739,-1.6254044
-1.7650905,-1.9903486
-1.8172499,-2.0470786
-1.8365444,-1.6493708
-2.048381,-2.0871415
-2.178982,-2.8162642
-2.158247,-2.7501504
-2.6113763,-3.648629
-2.5235987,-3.770966
-2.4891913,-3.6657138
-2.5071611,-3.5516102
-2.620982,-3.8473115
-2.6434448,-3.4675238
-2.423511,-2.9977643
-2.4586713,-2.6591399
-2.216078,-2.7045717
-2.1647372,-2.6034489
-2.4991326,-3.0561907
-1.0639662,-0.011335209
-0.44800416,-0.9736118
-0.41444275,-0.46560824
-0.14999458,-0.52805144
-0.27579328,-0.50029874
-0.26911557,-0.51427156
-0.12722066,-0.38661402
-0.47596812,-0.5534604
-0.48479185,-0.59088784
-0.23146978,-0.4311453
0.017193079,-0.58082306
-0.40181306,-0.56970996
-0.88899565,-0.1032642
-0.102748245,-0.48871493
-0.0018261075,-0.53590477
-0.46940634,-0.596585
0.01036486,-0.5395437
-0.37840503,-0.49087965
-0.4529544,-0.9332648
-0.4432745,-0.90185684
-0.5482792,-0.66559345
-0.65591216,-0.6378076
-0.64423794,-0.65768635
-0.35838813,-0.8599381
-0.34925804,-0.8123527
-0.32314974,-0.71522963
-0.30665323,-0.6515792
-0.66120267,-0.91766804
-0.6179873,-0.80375594
-1.1128606,-0.23532729
0.025920749,0.018925622
-0.020417362,0.032127634
-0.021188349,0.03321065
0.10529682,-0.016462758
0.08796933,-0.008939758
0.011965692,0.02215068
0.013338804,0.024321064
0.027118415,0.012318328
0.03115961,0.030576542
0.033341914,0.027260676
0.0008915365,0.024096385
-0.050789803,0.05333604
0.06061086,0.014494136
0.07052979,0.004365787
0.062417477,0.0032206625
0.046951354,0.0118596405
0.058852315,0.0018711239
0.0697445,0.011393324
0.34647843,0.025852576
-0.047498822,0.060029343
-0.005717188,0.061358526
-0.0128419995,0.030039236
-0.009215862,0.029126331
0.0068468153,0.025009736
0.064139664,0.012002513
0.0056430697,0.028715596
-0.01647386,0.036401674
-0.015178531,0.060061023
-0.038207084,0.062377945
0.040748566,0.053972706
-0.057059765,0.05026652
0.011988699,0.044835404
0.016106576,0.04745145
-0.034558088,0.04178162
0.36200306,0.014320597
0.4064828,-0.004043445
-0.011111945,0.048514083
0.034378856,0.0553046
