latent_1,latent_2
5.1063414,1.0997052
5.1378016,0.99260867
4.9519672,1.0184048
4.8465037,0.9045415
4.6214857,0.8241974
4.811035,0.670722
4.968972,1.0162388
4.7889743,1.9279025
4.7837276,1.4390192
4.540322,0.34185073
4.3170857,1.4093912
4.514181,2.6824076
4.1316338,1.3934457
6.1326227,3.820818
3.405266,3.388558
4.177377,2.0240386
4.7238626,0.4788806
7.3896236,4.7258334
6.1977806,1.7434778
5.7622013,1.40562
5.566302,1.8253809
5.6080933,2.091495
12.3775015,9.417933
0.7491626,2.3649151
3.3101366,3.9383087
3.4042568,3.387028
3.0916157,2.9160898
2.8149827,3.633966
2.980616,3.8223248
3.3687043,4.758223
3.861077,3.956994
4.0840225,3.4453964
3.5579376,3.642942
3.893902,3.8116279
3.2446566,3.4218707
3.3236377,3.412933
3.3516998,3.4041615
2.6992407,4.178806
3.0516412,4.168931
2.9027128,3.9691882
0.5493659,3.8402362
5.1176643,8.098424
1.8097128,9.094999
4.6264796,3.3583694
4.4858813,0.7926967
-0.0054574013,4.7493973
3.3072288,15.740195
1.464792,9.736255
0.4858117,5.452281
1.2644151,5.449226
1.9549326,6.0755863
1.2567014,4.457954
10.436465,13.636036
5.6190987,4.215451
1.9524649,3.1622415
6.0430517,5.9486327
1.7331285,3.1120296
1.8644713,3.1413555
1.9112347,3.0451279
2.283902,2.997216
2.1682823,3.0189726
2.0881293,3.1241443
3.020652,4.011544
2.6175013,3.7160525
4.4168415,3.2874308
2.430516,3.1250308
3.8955147,2.9217355
4.210763,2.8099155
5.940498,3.461989
2.3630917,4.1009774
3.171322,3.9946365
3.7250896,3.7835553
3.9496214,3.1057777
3.1868532,2.8882854
3.0253508,2.7669353
3.8746445,3.307381
3.4334548,3.1788309
3.621531,3.828063
3.6715543,3.8360376
1.6516769,3.2978573
1.4125704,3.0477645
1.530331,3.0389807
1.9393831,3.278903
1.5826429,3.4314027
1.8109142,3.1563768
2.3874822,3.2804105
2.3405397,3.028832
2.4100869,2.913954
1.8326811,2.8444662
1.9659168,3.4986699
3.8610146,0.76854634
1.5326128,0.32824066
1.5798385,-0.07556727
1.1662217,-0.2332131
1.8334256,0.36797616
1.7409419,0.2988312
1.2694101,-0.50248885
1.5582454,-0.1375542
1.5985721,-0.1091732
1.5233519,-0.6729889
1.0928324,-0.1913133
1.5422556,-0.07823422
3.4351313,2.3942788
1.3446591,-0.5972755
1.0939323,-0.22947004
1.8690058,0.4111509
1.0699681,-0.2347205
1.6382257,-0.26971605
1.6831738,0.95020056
1.6213793,0.61020666
1.7016387,0.35455784
1.7374414,0.2578505
1.5257561,0.04142473
