latent_1,latent_2,latent_3
-0.76915604,-1.0571616,1.1849039
-0.5127781,-0.9121817,1.1216402
-0.3692966,-0.8074921,1.1356142
-0.7992969,-1.1902661,1.0222619
-1.0367728,-1.4761369,0.8280322
-0.73919016,-1.4024565,0.5700905
-0.43647176,-1.3737464,0.22187763
-0.7976449,-1.2573204,0.95709246
-0.81100255,-1.270978,0.78572446
-1.1286308,0.28614944,-0.28719443
-0.55295306,-1.2088006,0.6320446
-0.43824536,-1.1686642,0.6557489
-1.5061313,-1.2619417,1.2019675
-1.2841223,0.5352803,1.0375896
-0.88307554,0.36913866,1.0844686
-0.97411376,0.54195315,1.0084717
-0.99508315,0.43174225,1.0083444
-0.5267127,1.2101307,0.5710953
-0.6856354,0.7808129,0.8699027
-1.3030173,1.3209834,1.488795
-1.4174658,1.5586894,1.8013177
-0.9367202,1.0257692,0.11101681
-1.4545814,1.0392771,1.2410469
-1.7584301,-0.37143737,2.4108458
-1.2280315,0.30545872,0.54989046
-1.1692263,0.38600534,0.6247228
-1.2694799,0.6627057,1.2513151
-1.7232844,0.5906804,0.75295097
-1.2082402,0.93889457,1.553144
-1.3912703,0.77002794,0.42876154
-1.518088,1.0560708,-0.117486656
-1.0935327,-0.054231346,-0.45972973
-1.3097507,0.060147524,-0.71591157
-1.1953574,0.04195994,-0.22687763
-1.1631016,0.11814046,-0.5900802
-1.3495013,-0.005431354,-0.7825189
-2.0499015,0.28774458,-0.18565959
-1.7652165,0.58297855,0.70116335
-2.7714674,0.89101475,-0.06885952
-1.4953238,0.36912465,-0.4603383
-1.5848399,-0.048920333,-1.1537986
-1.5388464,-0.030682623,-1.0067089
-1.6460489,0.045592844,-0.8517856
-1.8673996,0.07124883,-0.73091286
-1.4866201,0.12440646,-0.8413597
-1.006431,0.8718564,0.57639366
-2.6315038,1.1005826,0.92108566
-2.9512897,0.6603591,1.5155513
-1.218871,0.75239843,1.2479644
-1.377442,0.10630995,-0.9062219
-1.1603923,-0.08513439,-0.69082266
-1.2179252,-0.13474876,-0.69965285
-1.3088423,0.1281218,-0.8804682
-0.27711564,-0.4123965,1.6678252
-0.58739,-0.8215073,1.2100773
0.018565819,-1.0359769,0.45396215
-4.921083,-3.4607813,-3.1317964
-2.6610527,-3.5191858,-4.8745327
-0.3802243,0.5311758,1.0363028
-0.624718,0.8962162,1.1319458
-0.5326951,0.6564954,0.99901754
-0.38970596,0.9086258,1.0126898
-0.7972987,0.41765326,0.02407974
-0.8306212,0.30586857,-0.67590815
-0.74792296,0.49589628,-0.08995062
-0.7896547,0.20986545,-0.6140472
-0.8079136,0.19104731,-0.8045148
-0.59113985,0.5680416,0.9152027
-0.5558012,0.45184463,0.440481
-0.7884746,0.22832161,-0.060388267
-0.73625606,-0.020866096,-0.3373322
-0.9512492,-0.3143502,-0.40508574
-0.57626635,0.19848686,0.12494391
-0.9451347,0.45735663,-0.00048488379
-0.42489988,0.60692316,1.2668238
-0.4068113,-0.60562307,1.8393517
-0.5775092,1.2760799,1.1282454
-0.5469251,0.8769079,1.917459
-2.6968627,1.0913541,1.5362873
-2.3249612,1.841727,1.2221963
-1.8052603,1.8697567,-0.6292252
-1.3562688,1.5673285,-0.61883897
-1.200395,1.6765668,-0.68032163
-0.43947774,0.8728804,1.4326272
-0.35300523,0.6102324,1.114366
-0.32990104,0.56746644,1.0619898
-0.25606686,0.60059756,1.2080066
-0.22031935,0.58408445,1.175648
-0.6895173,2.6268165,-1.3256702
-0.88043886,0.36424094,0.8051428
-0.3754093,0.16484046,-0.35562426
