latent_1,latent_2,latent_3
0.005655244,-1.3234307,-1.274186
2.1898687,-2.2512581,-1.5289553
1.8585098,-2.4905367,-2.033598
-0.4265797,-3.293996,-3.9034176
1.7959478,-2.192764,-1.7907579
0.47499016,-0.12604858,0.05411401
-0.03572555,-1.4720662,-1.3940398
0.9110362,-1.9049991,-1.3587587
-0.06261529,-2.302833,-2.1578126
0.1843785,-1.1167465,-1.2978537
-0.676956,-3.0817764,-3.8558233
1.9587753,-2.6225982,-1.8399014
-0.5963466,-3.2090664,-3.6672738
0.13805097,-0.035306763,-0.015743282
0.26061508,-0.06831476,0.009667821
0.8169335,-0.21813807,0.1250088
4.710465,-6.2801523,-3.6037157
-2.2680194,-3.411997,-4.634926
3.8135886,-3.709009,-1.6819284
3.5572925,-2.958282,-1.1390033
4.2164893,-2.3693454,-0.44824377
1.4283755,-3.7672613,-2.8103456
3.6182055,-3.875499,-1.9206785
1.6647682,-3.846693,-2.7756014
0.8183103,-3.018865,-2.4083605
0.88334686,-2.2201648,-1.6563962
0.9643675,-2.7802858,-2.1266322
0.74749273,-2.7436728,-2.1913152
0.86657983,-2.9673636,-2.3399947
0.8021343,-2.8731363,-2.2838058
0.7264452,-2.8062122,-2.2573907
1.3002129,-3.7739332,-2.8741827
1.1559672,-3.5440438,-2.7312412
1.1663876,-3.591108,-2.7691238
8.10001,-2.4636042,1.3707823
0.82098746,-0.21922985,0.1258493
4.139265,-1.9131061,-0.53331727
0.13805097,-0.035306763,-0.015743282
0.13805097,-0.035306763,-0.015743282
8.522537,-2.7185857,0.74421364
1.0795889,-0.19130732,0.11317241
4.127286,-2.104444,-0.61580503
6.6266713,-6.3525023,-2.8049803
6.473168,-6.2079105,-2.7433884
4.009123,-4.786657,-2.568758
6.689948,-1.9375782,0.8796402
2.5625875,-2.013381,-0.71198136
2.670003,-2.5284133,-1.1496881
4.740695,-3.6687725,-1.3285065
0.6538813,-0.7031375,-0.52037877
4.5192976,-3.4269857,-1.2821724
4.898056,-3.7038248,-1.3351921
5.1506624,-3.7650652,-1.2859097
4.718444,-3.3597806,-1.0500877
4.8797464,-3.4114268,-1.0641581
4.1994796,-3.6063144,-1.5053071
4.5224295,-3.9322078,-1.5641884
2.419565,-2.9944506,-1.7579277
1.9213405,-1.6303333,-0.9400771
